Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
460,Alex Jackson,29,BAL,AL,0.7,36,100,91,17,20,8,0,5,8,0,0,5,37,0.22,0.29,0.473,0.763,111,0.323,108,43,2,4,0,0,0,2/H1D,
461,Matt Vierling,28,DET,AL,-0.3,31,100,88,6,21,3,0,1,11,2,0,7,24,0.239,0.31,0.307,0.617,73,0.281,70,27,1,3,0,2,0,8/7H59D,
462,Carlos Cortes*,28,ATH,AL,0.7,42,99,94,11,29,8,1,4,14,0,0,3,20,0.309,0.323,0.543,0.866,135,0.36,131,51,3,0,0,2,0,9H/75D,
463,J.C. Escarra*,30,NYY,AL,0.1,40,98,84,5,17,5,0,2,11,1,0,11,14,0.202,0.296,0.333,0.629,77,0.291,81,28,1,1,0,2,0,2/3H5D,
464,Alex Freeland#,23,LAD,NL,0.2,29,97,84,10,16,2,1,2,6,1,0,11,35,0.19,0.292,0.31,0.601,70,0.276,68,26,3,1,1,0,0,54/H,
465,Jason Heyward*,35,SDP,NL,-0.6,34,95,85,9,15,2,0,2,12,0,1,6,20,0.176,0.223,0.271,0.494,37,0.22,31,23,1,0,0,3,0,7/H98,
466,Vidal Bruján#,27,3TM,2LG,0.1,60,95,87,14,22,5,0,0,8,2,1,6,21,0.253,0.305,0.31,0.616,77,0.274,74,27,1,1,0,1,0,H56/9748D1,
467,Nasim Nuñez#,24,WSN,NL,0.7,39,92,82,13,19,2,0,4,13,9,1,8,20,0.232,0.297,0.402,0.699,97,0.323,94,33,1,0,1,1,0,64H/8D,
468,Jeimer Candelario#,31,CIN,NL,-0.9,22,91,80,3,9,2,0,2,10,0,1,9,29,0.113,0.198,0.213,0.41,12,0.185,2,17,1,0,0,2,0,5/3D,
469,Will Wilson,26,CLE,AL,-0.5,34,91,78,7,15,4,0,0,2,2,0,7,34,0.192,0.267,0.244,0.511,44,0.238,34,19,1,1,5,0,0,45/H1D,
470,Garrett Hampson,30,3TM,NL,-0.4,62,91,77,19,11,2,0,0,1,3,1,11,29,0.143,0.25,0.169,0.419,20,0.205,14,13,2,0,3,0,0,7H48/695D1,
471,Tim Anderson,32,LAA,AL,0,31,90,83,8,17,3,0,0,3,1,1,3,29,0.205,0.258,0.241,0.499,41,0.223,33,20,1,3,1,0,0,46/H,
472,Nate Eaton,28,BOS,AL,0.1,41,90,81,16,24,4,0,1,4,9,2,6,19,0.296,0.348,0.383,0.731,105,0.334,104,31,1,1,1,1,0,95/H871D,
473,DaShawn Keirsey Jr.*,28,MIN,AL,-1.2,74,88,84,11,9,0,0,2,6,10,3,2,33,0.107,0.138,0.179,0.317,-13,0.162,-24,15,1,1,1,0,0,9H78/D,
474,Andrew Knizner,30,SFG,NL,0.3,33,88,77,12,17,1,1,1,5,0,0,7,10,0.221,0.299,0.299,0.598,73,0.312,101,23,0,2,1,1,0,2/DH,
475,Liover Peguero,24,PIT,NL,0.2,33,88,80,9,16,1,0,4,8,4,0,6,25,0.2,0.273,0.363,0.635,75,0.302,79,29,3,2,0,0,0,6/3H4,
476,Ronny Simón#,25,2TM,NL,-1.2,27,88,77,10,18,3,0,0,7,1,0,8,15,0.234,0.299,0.273,0.572,61,0.271,62,21,1,0,1,2,0,/47D9H6,
477,Griffin Conine*,27,MIA,NL,0.1,24,86,79,13,20,7,0,2,8,0,1,7,25,0.253,0.314,0.418,0.732,101,0.325,107,33,0,0,0,0,0,7/9DH,
478,Tristan Gray*,29,TBR,AL,0.2,30,86,78,9,18,5,0,3,9,0,0,6,19,0.231,0.282,0.41,0.693,91,0.296,86,32,0,0,1,1,0,4/635H,
479,Brett Harris,27,ATH,AL,0.8,32,84,73,11,20,5,0,0,5,1,0,7,21,0.274,0.349,0.342,0.692,94,0.318,99,25,1,2,1,1,0,5/3H,
480,Bryce Johnson#,29,SDP,NL,0.6,55,84,76,9,26,4,0,1,8,4,1,3,19,0.342,0.383,0.434,0.817,127,0.375,135,33,1,2,3,0,0,78H9,
481,Cavan Biggio*,30,KCR,AL,-0.2,37,83,69,9,12,2,0,1,4,1,0,11,21,0.174,0.296,0.246,0.543,55,0.259,56,17,0,1,2,0,0,HD/93745,
482,Jorge Mateo,30,BAL,AL,-0.6,42,83,79,9,14,4,0,1,3,15,2,4,30,0.177,0.217,0.266,0.483,36,0.243,28,21,1,0,0,0,0,H68/4D517,
483,Bob Seymour*,26,TBR,AL,-0.1,26,83,78,9,16,1,1,1,5,1,0,4,32,0.205,0.253,0.282,0.535,50,0.25,51,22,0,1,0,0,0,3/DH,
484,Jesse Winker*,31,NYM,NL,0,26,81,70,8,16,5,2,1,10,1,0,9,21,0.229,0.309,0.4,0.709,100,0.305,92,28,1,0,0,2,1,D/H7,
485,Connor Joe,32,2TM,NL,-0.7,42,80,70,2,13,4,0,0,4,2,2,7,20,0.186,0.263,0.243,0.505,39,0.226,32,17,2,1,0,2,0,9H7/3D8,
486,Jacob Melton*,24,HOU,AL,-0.3,32,78,70,7,11,0,1,0,7,7,2,6,29,0.157,0.234,0.186,0.419,19,0.205,11,13,2,1,0,0,0,8/7H9,
487,Garrett Mitchell*,26,MIL,NL,0,25,78,68,9,14,4,1,0,3,3,0,7,25,0.206,0.286,0.294,0.58,63,0.269,58,20,0,1,1,1,0,8/H,
488,Hayden Senger,28,NYM,NL,-0.2,33,78,72,8,13,1,0,0,4,0,0,3,22,0.181,0.221,0.194,0.415,20,0.19,11,14,3,1,1,1,0,2/H,
489,Jhonny Pereda,29,2TM,AL,0.3,28,78,69,4,17,6,0,0,4,0,0,8,21,0.246,0.325,0.333,0.658,84,0.301,88,23,1,0,1,0,0,2/1H,
490,Jorge Barrosa#,24,ARI,NL,-0.7,33,77,71,8,10,3,0,1,7,0,0,2,22,0.141,0.169,0.225,0.394,8,0.17,-7,16,1,1,0,3,0,87/H9D,
491,Eric Haase,32,MIL,NL,0.2,30,77,70,11,16,3,0,2,9,0,0,4,31,0.229,0.289,0.357,0.647,80,0.285,76,25,1,2,1,0,0,2/DH,
492,Johnathan Rodríguez,25,CLE,AL,-0.6,31,77,71,6,14,4,1,2,10,1,0,6,22,0.197,0.26,0.366,0.626,72,0.286,75,26,2,0,0,0,0,9/H7D,
493,Seth Brown*,32,ATH,AL,-0.7,38,76,65,6,12,2,0,1,3,1,0,9,23,0.185,0.303,0.262,0.564,60,0.265,60,17,2,2,0,0,0,H7/89D,
494,Blake Dunn,26,CIN,NL,-0.1,30,75,60,10,9,2,0,1,7,1,1,8,25,0.15,0.32,0.233,0.553,54,0.27,60,14,1,7,0,0,0,97/8HD,
495,Will Robertson*,27,2TM,AL,-1.1,27,75,70,2,9,1,0,0,9,0,0,2,27,0.129,0.173,0.143,0.316,-10,0.149,-22,10,1,2,0,1,0,7/9H8D,
496,Jordan Lawlar,22,ARI,NL,-0.4,28,74,66,9,12,7,0,0,5,2,0,6,26,0.182,0.257,0.288,0.545,51,0.251,45,19,0,1,0,1,0,5H/D46,
497,Blaine Crim,28,2TM,2LG,0,20,74,65,10,13,2,0,5,12,0,0,6,28,0.2,0.27,0.462,0.732,94,0.308,86,30,0,1,0,2,0,3/DH,
498,Jacob Amaya,26,CHW,AL,-1,36,73,66,7,7,1,0,0,8,2,0,3,16,0.106,0.139,0.121,0.26,-26,0.125,-45,8,1,0,1,3,0,6/H14,
499,Sean Bouchard,29,COL,NL,-0.9,32,73,66,7,11,0,1,1,7,1,1,7,27,0.167,0.247,0.242,0.489,32,0.235,32,16,2,0,0,0,0,9H/D73,
500,Andrés Chaparro,26,WSN,NL,-0.4,34,73,66,4,12,2,0,1,5,0,0,5,22,0.182,0.247,0.258,0.504,44,0.231,42,17,0,1,0,1,0,3/HD,
